procedural_memory_model,alfworld,webarena,multiagentbench_research,officebench,cases
qwen3.5-0.8b,0.5,0.16666666666666666,4.305555555555555,0.4583333333333333,72
qwen3.5-2b,0.5,0.16666666666666666,4.25,0.4583333333333333,72
qwen3.5-9b,0.4166666666666667,0.16666666666666666,4.277777777777778,0.4583333333333333,72
qwen3.5-27b,0.5,0.125,4.25,0.4166666666666667,72
gemma-4-12b-it,0.5,0.16666666666666666,4.305555555555555,0.4166666666666667,72
gemma-4-31b-it,0.5,0.16666666666666666,4.166666666666667,0.5,72
deepseek-v4-flash-0731,0.5833333333333334,0.25,4.277777777777778,0.375,72
qwen3.8-max,0.5,0.20833333333333334,4.361111111111111,0.4166666666666667,72
glm-5.2,0.5,0.20833333333333334,4.305555555555555,0.4583333333333333,72
kimi-k3,0.5,0.20833333333333334,4.25,0.375,72
gpt-5.6-terra,0.4166666666666667,0.20833333333333334,4.277777777777778,0.375,72
claude-opus-5,0.4166666666666667,0.25,4.25,0.4583333333333333,72
